Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753910840,100,POST,/put,21.500000,0.000000,55,57,59,59,62,64,70,71,73,73,73,821,0,54,53.122597626103364,21.71207599894842,134.31985100032762,0.0
1753910840,100,,Aggregated,1985.000000,0.000000,34,36,37,38,40,46,52,55,63,71,73,85195,0,33,32.64985445239212,5.704978997528087,177.60040100256447,54.71215446915899
1753910841,100,GET,/get,1963.500000,0.000000,34,36,37,38,40,42,50,53,58,67,67,84374,0,33,32.450644717810164,5.704978997528087,177.60040100256447,55.24453030554436
1753910841,100,POST,/put,21.500000,0.000000,55,57,59,59,61,63,67,70,71,71,71,821,0,54,53.122597626103364,21.71207599894842,134.31985100032762,0.0
1753910841,100,,Aggregated,1985.000000,0.000000,34,36,37,38,40,45,52,55,63,70,71,85195,0,33,32.64985445239212,5.704978997528087,177.60040100256447,54.71215446915899
1753910842,100,GET,/get,1953.800000,0.000000,34,36,37,38,40,43,50,52,58,67,67,90254,0,33,32.55776665054747,5.704978997528087,177.60040100256447,55.35889822057748
1753910842,100,POST,/put,21.500000,0.000000,55,57,58,59,61,63,67,70,71,71,71,899,0,54,53.2582689900035,21.71207599894842,134.31985100032762,0.0
1753910842,100,,Aggregated,1975.300000,0.000000,34,36,37,38,40,45,52,55,63,70,71,91153,0,33,32.76192615822327,5.704978997528087,177.60040100256447,54.81291893848804
1753910843,100,GET,/get,1953.800000,0.000000,34,36,37,38,40,43,50,52,58,67,67,90254,0,33,32.55776665054747,5.704978997528087,177.60040100256447,55.35889822057748
1753910843,100,POST,/put,21.500000,0.000000,55,57,58,59,61,63,67,70,71,71,71,899,0,54,53.2582689900035,21.71207599894842,134.31985100032762,0.0
1753910843,100,,Aggregated,1975.300000,0.000000,34,36,37,38,40,45,52,55,63,70,71,91153,0,33,32.76192615822327,5.704978997528087,177.60040100256447,54.81291893848804
1753910844,100,GET,/get,1953.800000,0.000000,34,36,37,38,40,44,50,52,58,67,67,90254,0,33,32.55776665054747,5.704978997528087,177.60040100256447,55.35889822057748
1753910844,100,POST,/put,21.500000,0.000000,55,56,58,59,62,64,69,70,70,70,70,899,0,54,53.2582689900035,21.71207599894842,134.31985100032762,0.0
1753910844,100,,Aggregated,1975.300000,0.000000,34,36,37,38,40,46,52,54,63,70,70,91153,0,33,32.76192615822327,5.704978997528087,177.60040100256447,54.81291893848804
1753910845,100,GET,/get,1960.200000,0.000000,34,36,37,38,40,43,50,52,61,67,68,96182,0,33,32.63602896923139,5.704978997528087,177.60040100256447,55.4600444989707
1753910845,100,POST,/put,22.700000,0.000000,54,56,57,58,62,64,70,73,75,75,75,954,0,54,53.34029596121869,21.71207599894842,134.31985100032762,0.0
1753910845,100,,Aggregated,1982.900000,0.000000,34,36,37,38,40,45,52,55,65,73,75,97136,0,33,32.83937140365691,5.704978997528087,177.60040100256447,54.91535578982046
1753910846,100,GET,/get,1960.200000,0.000000,34,36,37,38,40,43,50,52,61,67,68,96182,0,33,32.63602896923139,5.704978997528087,177.60040100256447,55.4600444989707
1753910846,100,POST,/put,22.700000,0.000000,54,56,57,58,62,64,70,73,75,75,75,954,0,54,53.34029596121869,21.71207599894842,134.31985100032762,0.0
